Timestamp,CanID,DLC,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,Flag
1513920236.650473,0589,8,A0,1A,76,86,92,68,70,CA,R
1513920236.656232,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.656465,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.657143,0182,8,76,22,01,00,00,00,00,00,R
1513920236.657745,01E9,8,00,10,00,0E,0F,FE,00,00,R
1513920236.658160,01FC,8,FE,9B,00,B4,00,00,82,9C,R
1513920236.658410,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.659424,0232,8,00,00,00,20,00,00,00,00,R
1513920236.659655,00AA,8,2B,E3,2C,59,40,53,A7,00,R
1513920236.659884,019D,8,03,2C,3C,D4,00,0C,A9,7F,R
1513920236.660505,00C9,8,84,0D,24,0D,00,00,18,00,R
1513920236.660787,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.660986,018E,8,00,00,00,69,C6,9C,06,9C,R
1513920236.661224,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.661462,0191,8,06,9C,06,AB,06,9C,00,00,R
1513920236.661706,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.662919,034C,8,F2,A4,0F,FE,03,FD,00,10,R
1513920236.666449,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.666681,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.670230,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.670650,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.671921,00AA,8,2B,EC,2C,60,42,53,9F,00,R
1513920236.672381,00C9,8,84,0D,1D,00,00,00,18,00,R
1513920236.672635,018E,8,00,00,00,69,C6,9C,06,9C,R
1513920236.673080,0191,8,06,9C,06,AB,06,9C,00,00,R
1513920236.673838,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.674080,01C3,8,06,9C,06,9B,FF,F0,00,02,R
1513920236.674321,01C4,8,4A,62,C0,30,04,00,05,FE,R
1513920236.674958,02C3,8,07,49,06,86,00,00,50,00,R
1513920236.675962,01F1,8,AE,0A,00,00,18,00,00,72,R
1513920236.676194,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.676431,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.677263,01E9,8,00,0C,00,0E,0F,FE,00,00,R
1513920236.677510,0232,8,00,00,00,20,00,00,00,00,R
1513920236.680254,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.680893,03F1,8,00,9A,5F,08,00,FF,0A,4F,R
1513920236.683109,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.683944,019D,8,43,2C,3C,D3,00,0C,92,7F,R
1513920236.684373,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.684603,00AA,8,2B,EC,2C,60,44,53,9E,00,R
1513920236.684847,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.685298,00C9,8,84,0D,1F,07,00,00,18,00,R
1513920236.685535,018E,8,00,00,00,69,B6,9C,06,9C,R
1513920236.685778,0191,8,06,9B,06,AB,06,9C,00,00,R
1513920236.686151,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.686387,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.688325,03C9,8,07,06,00,00,00,00,00,00,R
1513920236.690228,01E5,8,5C,00,90,10,00,00,01,38,R
1513920236.695613,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.696136,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.696368,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.696960,00AA,8,2B,EC,2C,60,46,53,9D,00,R
1513920236.697644,01E9,8,00,0C,00,0E,0F,FE,00,00,R
1513920236.697884,00C9,8,84,0D,1F,0A,00,00,18,00,R
1513920236.698341,018E,8,00,00,00,69,D6,9C,06,9C,R
1513920236.698759,0191,8,06,9D,06,AB,06,9C,00,00,R
1513920236.699120,0232,8,00,00,00,20,00,00,00,00,R
1513920236.699562,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.699804,01C3,8,06,9D,06,9B,FF,C0,00,01,R
1513920236.700046,01C4,8,6D,62,C0,30,06,00,03,FD,R
1513920236.700285,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.705942,012A,8,10,F0,70,6A,00,00,10,80,R
1513920236.706203,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.706434,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.706897,01FC,8,FE,C6,00,C9,00,00,C2,E4,R
1513920236.708286,034C,8,FA,A5,0F,FE,03,FD,00,10,R
1513920236.708537,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.709323,019D,8,83,2C,3C,D2,00,0C,7A,7E,R
1513920236.709558,00AA,8,2B,EC,2C,60,40,53,A0,00,R
1513920236.710187,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.710427,00C9,8,84,0D,1F,0D,00,00,18,00,R
1513920236.710665,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.710900,018E,8,00,00,00,69,D6,9D,06,9D,R
1513920236.711144,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.711380,0191,8,06,9D,06,AB,06,9D,00,00,R
1513920236.715891,0135,8,00,00,1F,02,0C,11,00,00,R
1513920236.716264,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.716499,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.717330,01E9,8,00,10,00,0E,0F,FE,00,00,R
1513920236.717576,0232,8,00,00,00,20,00,00,00,00,R
1513920236.720226,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.720660,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.721902,00AA,8,2B,EE,2C,62,42,53,9D,00,R
1513920236.722360,00C9,8,84,0D,21,00,00,00,18,00,R
1513920236.722598,018E,8,00,00,00,69,D6,9D,06,9D,R
1513920236.723054,0191,8,06,9D,06,AB,06,9D,00,00,R
1513920236.723818,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.724060,01C3,8,06,9D,06,9B,FF,D0,00,00,R
1513920236.724312,01C4,8,00,62,C0,30,00,00,00,00,R
1513920236.724947,02C3,8,07,49,06,85,00,00,51,00,R
1513920236.725195,03C1,8,07,65,F7,00,00,00,00,00,R
1513920236.725447,03D1,8,00,3E,80,00,00,17,00,00,R
1513920236.725694,03D3,8,80,00,20,00,5F,FE,5E,00,R
1513920236.725946,0137,8,00,00,00,00,00,00,00,00,R
1513920236.726313,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.726548,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.727023,03E9,8,00,00,03,EE,00,00,16,02,R
1513920236.730231,01E5,8,5C,00,90,10,00,00,01,38,R
1513920236.733116,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.733948,019D,8,C3,2C,3C,D1,00,0C,7B,7E,R
1513920236.734377,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.734609,00AA,8,2B,EE,2C,62,44,53,9C,00,R
1513920236.734853,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.735303,00C9,8,84,0D,22,07,00,00,18,00,R
1513920236.735541,018E,8,00,00,00,69,D6,9D,06,9D,R
1513920236.735790,0191,8,06,9D,06,AB,06,9D,00,00,R
1513920236.736040,0139,8,00,00,00,00,00,00,00,00,R
1513920236.736272,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.736504,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.737339,01E9,8,00,0C,00,0E,0F,FD,00,00,R
1513920236.737587,0232,8,00,00,00,20,00,00,00,00,R
1513920236.740231,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.740819,04E1,8,47,43,30,32,30,35,36,35,R
1513920236.745618,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.746232,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.746464,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.746919,00AA,8,2B,EE,2C,62,46,53,9B,00,R
1513920236.747380,00C9,8,84,0D,24,0A,00,00,18,00,R
1513920236.747628,018E,8,00,00,00,69,D6,9D,06,9D,R
1513920236.748085,0191,8,06,9D,06,AB,06,9D,00,00,R
1513920236.748425,0514,8,4C,59,44,43,34,38,37,44,R
1513920236.748874,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.749116,01C3,8,06,9D,06,9B,FF,E0,00,03,R
1513920236.749363,01C4,8,27,62,C0,30,02,00,07,FF,R
1513920236.750233,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.756327,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.756563,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.757235,0182,8,76,22,01,00,00,00,00,00,R
1513920236.757839,01E9,8,00,0C,00,0E,0F,FE,00,00,R
1513920236.758247,01FC,8,FE,B7,00,99,00,00,02,8D,R
1513920236.758538,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.759510,00AA,8,2B,EE,2C,62,40,53,9E,00,R
1513920236.759743,019D,8,03,2C,3C,D4,00,0C,8B,7F,R
1513920236.760363,00C9,8,84,0D,28,0D,00,00,18,00,R
1513920236.760616,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.760844,018E,8,00,00,00,69,E6,9C,06,9C,R
1513920236.761082,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.761315,0191,8,06,9E,06,AB,06,9C,00,00,R
1513920236.761560,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.761808,0232,8,00,00,00,20,00,00,00,00,R
1513920236.763035,034C,8,E2,9E,0F,FE,03,FD,00,0C,R
1513920236.766311,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.766547,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.770236,01E5,8,5C,00,90,10,00,00,01,38,R
1513920236.770662,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.771928,00AA,8,2B,EB,2C,60,42,53,9F,00,R
1513920236.772400,00C9,8,84,0D,2D,00,00,00,18,00,R
1513920236.772640,018E,8,00,00,00,69,E6,9C,06,9C,R
1513920236.773095,0191,8,06,9E,06,AB,06,9C,00,00,R
1513920236.773854,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.774096,01C3,8,06,9E,06,9B,FF,F0,00,02,R
1513920236.774336,01C4,8,4A,62,C0,30,04,00,05,FE,R
1513920236.774983,02C3,8,07,48,06,86,00,00,51,00,R
1513920236.776011,01F1,8,AE,0A,00,00,18,00,00,72,R
1513920236.776244,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.776476,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.777307,01E9,8,00,10,00,0E,0F,FE,00,00,R
1513920236.777555,0232,8,00,00,00,20,00,00,00,00,R
1513920236.780221,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.783126,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.783960,019D,8,43,2C,3C,D3,00,0C,6A,7F,R
1513920236.784388,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.784629,00AA,8,2B,EB,2C,60,44,53,9E,00,R
1513920236.784862,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.785310,00C9,8,84,0D,31,07,00,00,18,00,R
1513920236.785551,018E,8,00,00,00,69,E6,9C,06,9C,R
1513920236.785797,0191,8,06,9E,06,AB,06,9C,00,00,R
1513920236.786258,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.786489,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.788352,03C9,8,07,06,00,00,00,00,00,00,R
1513920236.790239,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.795627,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.796151,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.796386,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.796975,00AA,8,2B,EB,2C,60,46,53,9D,00,R
1513920236.797656,01E9,8,00,10,00,0E,0F,FD,00,00,R
1513920236.797892,00C9,8,84,0D,35,0A,00,00,18,00,R
1513920236.798348,018E,8,00,00,00,69,D6,9C,06,9C,R
1513920236.798702,0191,8,06,9D,06,AB,06,9C,00,00,R
1513920236.799289,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.799538,0232,8,00,00,00,20,00,00,00,00,R
1513920236.799780,01C3,8,06,9D,06,9B,FF,C0,00,01,R
1513920236.800022,01C4,8,6D,62,C0,30,06,00,03,FD,R
1513920236.800260,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.805966,012A,8,10,F0,70,6A,00,00,10,90,R
1513920236.806248,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.806484,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.806950,01FC,8,FE,81,00,95,00,00,42,5B,R
1513920236.808354,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.808600,034C,8,EA,A1,0F,FD,03,FC,00,10,R
1513920236.809222,019D,8,83,2C,3C,D2,00,0C,72,7F,R
1513920236.809462,00AA,8,2B,EB,2C,60,40,53,A0,00,R
1513920236.810090,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.810329,00C9,8,84,0D,36,0D,00,00,18,00,R
1513920236.810567,01E5,8,5C,00,90,10,00,00,01,38,R
1513920236.810803,018E,8,00,00,00,69,D6,9C,06,9C,R
1513920236.811047,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.811281,0191,8,06,9D,06,AB,06,9C,00,00,R
1513920236.815913,0135,8,00,00,1F,02,0C,11,00,00,R
1513920236.816296,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.816529,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.817364,01E9,8,00,0C,00,0E,0F,FE,00,00,R
1513920236.817613,0232,8,00,00,00,20,00,00,00,00,R
1513920236.820244,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.820668,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.821906,00AA,8,2B,E6,2C,5C,42,53,A3,00,R
1513920236.822373,00C9,8,84,0D,35,00,00,00,18,00,R
1513920236.822611,018E,8,00,00,00,69,D6,9C,06,9C,R
1513920236.823066,0191,8,06,9D,06,AB,06,9C,00,00,R
1513920236.823830,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.824072,01C3,8,06,9D,06,9B,FF,D0,00,00,R
1513920236.824325,01C4,8,00,62,C0,30,00,00,00,00,R
1513920236.824961,02C3,8,07,49,06,85,00,00,51,00,R
1513920236.825208,03C1,8,07,65,F7,00,00,00,00,00,R
1513920236.825460,03D1,8,00,3E,80,00,00,17,00,00,R
1513920236.825702,03D3,8,80,00,20,00,7F,FD,5E,00,R
1513920236.826087,0137,8,00,00,00,00,00,00,00,00,R
1513920236.826321,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.826553,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.827026,03E9,8,00,00,03,EE,00,00,16,02,R
1513920236.830244,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.833134,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.833985,019D,8,C3,2C,3C,D1,00,0C,7F,7F,R
1513920236.834395,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.834625,00AA,8,2B,E6,2C,5C,44,53,A2,00,R
1513920236.834869,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.835320,00C9,8,84,0D,3A,07,00,00,18,00,R
1513920236.835560,018E,8,00,00,00,69,D6,9C,06,9C,R
1513920236.835800,0191,8,06,9D,06,AB,06,9C,00,00,R
1513920236.836050,0139,8,00,00,00,00,00,00,00,00,R
1513920236.836282,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.836519,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.837348,01E9,8,00,10,00,0E,0F,FF,00,00,R
1513920236.837596,0232,8,00,00,00,20,00,00,00,00,R
1513920236.840246,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.845637,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.846265,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.846500,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.846956,00AA,8,2B,E6,2C,5C,46,53,A1,00,R
1513920236.847415,00C9,8,84,0D,39,0A,00,00,18,00,R
1513920236.847656,018E,8,00,00,00,69,C6,9B,06,9B,R
1513920236.848111,0191,8,06,9C,06,AB,06,9B,00,00,R
1513920236.848674,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.848914,01C3,8,06,9C,06,9B,FF,E0,00,03,R
1513920236.849160,01C4,8,27,62,C0,30,02,00,07,FF,R
1513920236.850205,01E5,8,5C,00,90,10,00,00,01,38,R
1513920236.856379,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.856623,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.857288,0182,8,76,22,01,00,00,00,00,00,R
1513920236.857887,01E9,8,00,10,00,0E,0F,FD,00,00,R
1513920236.858298,01FC,8,FE,76,00,B0,00,00,82,73,R
1513920236.858550,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.859551,00AA,8,2B,E4,2C,5B,40,53,A5,00,R
1513920236.859781,019D,8,03,2C,3C,D4,00,0C,7D,7F,R
1513920236.860400,00C9,8,84,0D,39,0D,00,00,18,00,R
1513920236.860644,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.860879,018E,8,00,00,00,69,C6,9B,06,9B,R
1513920236.861118,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.861352,0191,8,06,9C,06,AB,06,9B,00,00,R
1513920236.861596,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.861844,0232,8,00,00,00,20,00,00,00,00,R
1513920236.863055,034C,8,F2,A3,0F,FD,03,FD,00,10,R
1513920236.866318,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.866550,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.870256,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.870681,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.871922,00AA,8,2B,E4,2C,5B,42,53,A4,00,R
1513920236.872386,00C9,8,84,0D,3D,00,00,00,18,00,R
1513920236.872640,018E,8,00,00,00,69,C6,9B,06,9B,R
1513920236.873082,0191,8,06,9C,06,AB,06,9B,00,00,R
1513920236.873841,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.874083,01C3,8,06,9C,06,9B,FF,F0,00,02,R
1513920236.874323,01C4,8,4A,62,C0,30,04,00,05,FE,R
1513920236.874962,02C3,8,07,49,06,86,00,00,52,00,R
1513920236.875203,03F9,8,00,A7,4A,81,5F,86,FF,38,R
1513920236.875577,03FC,8,40,59,0A,6E,6E,00,6E,6E,R
1513920236.876186,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.876421,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.877249,01E9,8,00,10,00,0E,0F,FD,00,00,R
1513920236.877497,0232,8,00,00,00,20,00,00,00,00,R
1513920236.878580,01F1,8,AE,0A,00,00,18,00,00,72,R
1513920236.880212,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.883144,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.883978,019D,8,43,2C,3C,D3,00,0C,6A,7F,R
1513920236.884404,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.884635,00AA,8,2B,E4,2C,5B,44,53,A3,00,R
1513920236.884878,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.885327,00C9,8,84,0D,3B,07,00,00,18,00,R
1513920236.885567,018E,8,00,00,00,69,C6,9B,06,9B,R
1513920236.885808,0191,8,06,9C,06,AB,06,9B,00,00,R
1513920236.886201,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.886436,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.888382,03C9,8,07,06,00,00,00,00,00,00,R
1513920236.890255,01E5,8,5C,00,90,10,00,00,01,38,R
1513920236.895646,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.896182,00C1,8,10,F9,05,41,12,85,8B,91,R
1513920236.896414,00C5,8,13,52,0F,1D,D3,F4,03,D4,R
1513920236.897007,00AA,8,2B,E4,2C,5B,46,53,A2,00,R
1513920236.897692,01E9,8,00,10,00,0E,0F,FD,00,00,R
1513920236.897931,00C9,8,84,0D,3A,0A,00,00,18,00,R
1513920236.898388,018E,8,00,00,00,69,C6,9B,06,9B,R
1513920236.898736,0191,8,06,9C,06,AB,06,9B,00,00,R
1513920236.899198,0232,8,00,00,00,20,00,00,00,00,R
1513920236.899423,01BA,8,06,9B,69,B6,8B,69,B7,21,R
1513920236.899871,01C3,8,06,9C,06,9B,FF,C0,00,01,R
1513920236.900113,01C4,8,6D,62,C0,30,06,00,03,FD,R
1513920236.900352,01E5,8,5C,00,90,30,00,00,01,58,R
1513920236.905993,012A,8,10,F0,70,6A,00,00,10,A0,R
1513920236.906227,00C1,8,20,F9,05,41,22,85,8B,91,R
1513920236.906459,00C5,8,23,52,0F,1D,E3,F4,03,D4,R
1513920236.906925,01FC,8,FE,81,00,9F,00,00,C2,75,R
1513920236.908311,034C,8,FA,A5,0F,FE,03,FD,00,10,R
1513920236.908567,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.909420,019D,8,83,2C,3C,D2,00,0C,82,7E,R
1513920236.909653,00AA,8,2B,E4,2C,5B,40,53,A5,00,R
1513920236.910282,01AF,8,00,00,00,00,00,00,86,FF,R
1513920236.910519,00C9,8,84,0D,37,0D,00,00,18,00,R
1513920236.910756,01E5,8,5C,00,90,50,00,00,01,78,R
1513920236.910993,018E,8,00,00,00,69,C6,9B,06,9B,R
1513920236.911237,01F5,8,0F,0F,00,01,00,00,08,00,R
1513920236.911471,0191,8,06,9C,06,AB,06,9B,00,00,R
1513920236.915942,0135,8,00,00,1F,02,0C,11,00,00,R
1513920236.916252,00C1,8,30,F9,05,41,32,85,8B,91,R
1513920236.916488,00C5,8,33,52,0F,1D,F3,F4,03,D4,R
1513920236.917318,01E9,8,00,10,00,0E,0F,FE,00,00,R
1513920236.917566,0232,8,00,00,00,20,00,00,00,00,R
1513920236.920226,01E5,8,5C,00,90,70,00,00,01,98,R
1513920236.920653,00F9,8,00,00,40,00,00,00,00,00,R
1513920236.921918,00AA,8,2B,E4,2C,5B,42,53,A4,00,R
1513920236.922376,00C9,8,84,0D,3B,00,00,00,18,00,R
1513920236.922616,018E,8,00,00,00,69,C6,9B,06,9B,R
1513920236.923071,0191,8,06,9C,06,AB,06,9B,00,00,R
1513920236.923840,01BA,8,06,9B,69,B6,8C,69,B7,21,R
1513920236.924085,01C3,8,06,9C,06,9B,FF,D0,00,00,R
1513920236.924336,01C4,8,00,62,C0,30,00,00,00,00,R
1513920236.924975,02C3,8,07,48,06,86,00,00,53,00,R
1513920236.925224,03C1,8,07,65,F7,00,00,00,00,00,R
1513920236.925475,03D1,8,00,3E,80,00,00,17,00,00,R
1513920236.925724,03D3,8,80,00,20,00,00,00,5E,00,R
1513920236.926108,0137,8,00,00,00,00,00,00,00,00,R
1513920236.926344,00C1,8,00,F9,05,41,02,85,8B,91,R
1513920236.926580,00C5,8,03,52,0F,1D,C3,F4,03,D4,R
1513920236.927055,03E9,8,00,00,03,EE,00,00,16,02,R
